airline,reg,type,msn,age
Egyptair,SU-GFJ,Airbus A320-251N,09473,6 years
Egyptair,SU-GFK,Airbus A320-251N,09519,6 years
Egyptair,SU-GFL,Airbus A320-251N,09526,6 years
Egyptair,SU-GFM,Airbus A320-251N,09532,6 years
Egyptair,SU-GFN,Airbus A320-251N,10013,5 years
Egyptair,SU-GFO,Airbus A320-251N,10039,5 years
Egyptair,SU-GFP,Airbus A320-251N,10064,5 years
Egyptair,SU-GFQ,Airbus A320-251N,10072,5 years
Egyptair,SU-GFR,Airbus A321-251NX,11164,3 years
Egyptair,SU-GFS,Airbus A321-251NX,11231,2 years
Egyptair,SU-GFT,Airbus A321-251NX,11341,2 years
Egyptair,SU-GFU,Airbus A321-251NX,11352,2 years
Egyptair,SU-GFV,Airbus A321-251NX,11445,2 years
Egyptair,SU-GFW,Airbus A321-251NX,11581,2 years
Egyptair,SU-GFX,Airbus A321-251NX,11557,2 years
Egyptair,SU-GCH,Airbus A330-243,0683,20 years
Egyptair,SU-GCI,Airbus A330-243,0696,20 years
Egyptair,SU-GCK,Airbus A330-243,0726,20 years
Egyptair,SU-GGD,Airbus A330-223,0939,17 years
Egyptair,SU-GDS,Airbus A330-343,1143,15 years
Egyptair,SU-GDT,Airbus A330-343,1230,14 years
Egyptair,SU-GDU,Airbus A330-343,1238,14 years
Egyptair,SU-GDV,Airbus A330-343,1246,14 years
Egyptair,SU-GGE,Airbus A350-941,767,Brand new
Egyptair,SU-GCM,Boeing 737-866,35558,19 years
Egyptair,SU-GCN,Boeing 737-866,35559,19 years
Egyptair,SU-GCO,Boeing 737-866,35561,18 years
Egyptair,SU-GCR,Boeing 737-866,35562,16 years
Egyptair,SU-GCS,Boeing 737-866,35563,17 years
Egyptair,SU-GCZ,Boeing 737-866,35568,17 years
Egyptair,SU-GDA,Boeing 737-866,35565,16 years
Egyptair,SU-GDB,Boeing 737-866,35567,16 years
Egyptair,SU-GDC,Boeing 737-866,35564,16 years
Egyptair,SU-GDD,Boeing 737-866,35566,16 years
Egyptair,SU-GDE,Boeing 737-866,35569,16 years
Egyptair,SU-GDX,Boeing 737-866,40757,15 years
Egyptair,SU-GDY,Boeing 737-866,40758,15 years
Egyptair,SU-GDZ,Boeing 737-866,40759,15 years
Egyptair,SU-GEA,Boeing 737-866,40760,15 years
Egyptair,SU-GEB,Boeing 737-866,40800,14 years
Egyptair,SU-GEC,Boeing 737-866,40801,14 years
Egyptair,SU-GED,Boeing 737-866,40802,13 years
Egyptair,SU-GEE,Boeing 737-866,40803,13 years
Egyptair,SU-GEF,Boeing 737-866,63692,9 years
Egyptair,SU-GEG,Boeing 737-866,63799,9 years
Egyptair,SU-GEH,Boeing 737-866,63800,8 years
Egyptair,SU-GEI,Boeing 737-866,63801,8 years
Egyptair,SU-GEJ,Boeing 737-866,63802,8 years
Egyptair,SU-GEK,Boeing 737-866,63803,8 years
Egyptair,SU-GEL,Boeing 737-866,63804,8 years
Egyptair,SU-GEM,Boeing 737-866,63805,8 years
Egyptair,SU-GEN,Boeing 737-866,63806,8 years
Egyptair,SU-GGA,Boeing 737-85R,36694,15 years
Egyptair,SU-GGB,Boeing 737-81M,44422,10 years
Egyptair,SU-GDM,Boeing 777-36N(ER),38285,15 years
Egyptair,SU-GDN,Boeing 777-36N(ER),38288,15 years
Egyptair,SU-GDO,Boeing 777-36N(ER),38289,15 years
Egyptair,SU-GDP,Boeing 777-36N(ER),38290,14 years
Egyptair,SU-GDR,Boeing 777-36N(ER),38291,14 years
Egyptair,SU-GER,Boeing 787-9 Dreamliner,38798,6 years
Egyptair,SU-GES,Boeing 787-9 Dreamliner,38799,6 years
Egyptair,SU-GET,Boeing 787-9 Dreamliner,38801,6 years
Egyptair,SU-GEU,Boeing 787-9 Dreamliner,38802,6 years
Egyptair,SU-GEV,Boeing 787-9 Dreamliner,65087,6 years
Egyptair,SU-GEW,Boeing 787-9 Dreamliner,65093,6 years
Egyptair,SU-GFY,Boeing 787-9 Dreamliner,65106,2 years
Egyptair,SU-GFZ,Boeing 787-9 Dreamliner,65107,1 year
Air Cairo,SU-BUK,Airbus A320-251N,10152,4 years
Air Cairo,SU-BUL,Airbus A320-251N,08970,6 years
Air Cairo,SU-BUM,Airbus A320-251N,09056,6 years
Air Cairo,SU-BUN,Airbus A320-251N,10680,4 years
Air Cairo,SU-BUP,Airbus A320-251N,11302,2 years
Air Cairo,SU-BUQ,Airbus A320-251N,11307,3 years
Air Cairo,SU-BUR,Airbus A320-251N,11322,3 years
Air Cairo,SU-BUS,Airbus A320-251N,11254,3 years
Air Cairo,SU-BUT,Airbus A320-251N,11205,3 years
Air Cairo,SU-BUX,Airbus A320-251N,10791,3 years
Air Cairo,SU-BUY,Airbus A320-251N,10837,3 years
Air Cairo,SU-BUZ,Airbus A320-251N,10803,3 years
Air Cairo,SU-BVJ,Airbus A320-251N,11218,3 years
Air Cairo,SU-BVK,Airbus A320-251N,11106,3 years
Air Cairo,SU-BVL,Airbus A320-251N,12242,1 year
Air Cairo,SU-BVM,Airbus A320-251N,12273,1 year
Air Cairo,SU-BVN,Airbus A320-251N,12220,1 year
Air Cairo,SU-BVO,Airbus A320-251N,12240,1 year
Air Cairo,SU-BPX,Airbus A320-214,03323,18 years
Air Cairo,SU-BTM,Airbus A320-214,04320,15 years
Air Cairo,SU-BUJ,Airbus A320-214,08604,7 years
Air Cairo,SU-BUU,Airbus A320-214,04294,15 years
Air Cairo,SU-BUV,Airbus A320-214,04433,15 years
Air Cairo,SU-BVP,Airbus A320-214,04999,14 years
Air Cairo,SU-BVQ,Airbus A320-214,03656,17 years
Air Cairo,SU-BWB,Airbus A320-214,06516,10 years
Air Cairo,SU-BWC,Airbus A320-214,06476,11 years
Air Cairo,SU-BWD,Airbus A320-214,06458,11 years
Air Cairo,SU-BWE,Airbus A320-214,06500,10 years
Air Cairo,SU-BWF,Airbus A320-214,06538,10 years
Air Cairo,SU-BVA,ATR 72-600,1026,2 years
Air Cairo,SU-BVB,ATR 72-600,1131,12 years
Air Cairo,SU-BVD,ATR 72-600,1148,11 years
Air Cairo,SU-BVF,ATR 72-600,1171,11 years
Air Cairo,SU-BVG,Embraer E190LR,19000774,4 years
Air Cairo,SU-BVH,Embraer E190LR,19000775,3 years
Air Cairo,SU-BVI,Embraer E190LR,19000774,4 years
Nile Air,SU-BQC,Airbus A320-232,03219,18 years
Nile Air,SU-BQK,Airbus A320-214,03925,16 years
Nile Air,SU-BQM,Airbus A320-214,04310,15 years
Nile Air,SU-BQL,Airbus A321-231,02410,20 years
Nile Air,SU-BQN,Airbus A321-231,02476,20 years
Red Sea Airlines,SU-RSA,Boeing 737-82R,35702,17 years
Red Sea Airlines,SU-RSB,Boeing 737-8Q8,29369,19 years
Red Sea Airlines,SU-RSC,Boeing 737-81B,30708,19 years
Red Sea Airlines,SU-RSD,Boeing 737-8EH,39619,12 years
Wizz Air,9H-WAN,Airbus A320-271N,10192,5 years
Wizz Air,9H-WBA,Airbus A320-271N,10129,5 years
Wizz Air,9H-WBX,Airbus A320-271N,10046,5 years
Wizz Air,9H-WBY,Airbus A320-271N,10092,5 years
Wizz Air,9H-WAA,Airbus A321-271NX,11018,3 years
Wizz Air,9H-WAB,Airbus A321-271NX,11016,3 years
Wizz Air,9H-WAC,Airbus A321-271NX,11017,3 years
Wizz Air,9H-WAD,Airbus A321-271NX,11066,3 years
Wizz Air,9H-WAE,Airbus A321-271NX,11061,3 years
Wizz Air,9H-WAF,Airbus A321-271NX,11060,3 years
Wizz Air,9H-WAG,Airbus A321-271NX,10526,4 years
Wizz Air,9H-WAH,Airbus A321-271NX,10417,4 years
Wizz Air,9H-WAI,Airbus A321-271NX,10460,4 years
Wizz Air,9H-WAJ,Airbus A321-271NX,10369,4 years
Wizz Air,9H-WAK,Airbus A321-271NX,10260,4 years
Wizz Air,9H-WAL,Airbus A321-271NX,10336,4 years
Wizz Air,9H-WAM,Airbus A321-271NX,10389,4 years
Wizz Air,9H-WAO,Airbus A321-271NX,09564,5 years
Wizz Air,9H-WAP,Airbus A321-271NX,10370,4 years
Wizz Air,9H-WAQ,Airbus A321-271NX,10393,4 years
Wizz Air,9H-WAS,Airbus A321-271NX,11651,2 years
Wizz Air,9H-WAT,Airbus A321-271NX,10508,4 years
Wizz Air,9H-WAW,Airbus A321-271NX,11087,3 years
Wizz Air,9H-WAX,Airbus A321-271NX,11131,3 years
Wizz Air,9H-WAY,Airbus A321-271NX,11233,2 years
Wizz Air,9H-WAZ,Airbus A321-271NX,11250,2 years
Wizz Air,9H-WBE,Airbus A321-271NX,10391,5 years
Wizz Air,9H-WBF,Airbus A321-271NX,10371,5 years
Wizz Air,9H-WBI,Airbus A321-271NX,10907,3 years
Wizz Air,9H-WBR,Airbus A321-271NX,10522,4 years
Wizz Air,9H-WBU,Airbus A321-271NX,10050,5 years
Wizz Air,9H-WBZ,Airbus A321-271NX,10985,3 years
Wizz Air,9H-WDE,Airbus A321-271NX,11365,2 years
Wizz Air,9H-WDF,Airbus A321-271NX,11395,2 years
Wizz Air,9H-WDG,Airbus A321-271NX,11499,2 years
Wizz Air,9H-WDH,Airbus A321-271NX,11217,2 years
Wizz Air,9H-WDI,Airbus A321-271NX,11303,3 years
Wizz Air,9H-WDJ,Airbus A321-271NX,11388,2 years
Wizz Air,9H-WDK,Airbus A321-271NX,11266,2 years
Wizz Air,9H-WDL,Airbus A321-271NX,10477,2 years
Wizz Air,9H-WDM,Airbus A321-271NX,11273,2 years
Wizz Air,9H-WDN,Airbus A321-271NX,11411,2 years
Wizz Air,9H-WDO,Airbus A321-271NX,11398,2 years
Wizz Air,9H-WDP,Airbus A321-271NX,11291,2 years
Wizz Air,9H-WDQ,Airbus A321-271NX,11370,2 years
Wizz Air,9H-WDR,Airbus A321-271NX,11309,2 years
Wizz Air,9H-WDS,Airbus A321-271NX,11428,2 years
Wizz Air,9H-WDT,Airbus A321-271NX,11457,2 years
Wizz Air,9H-WDU,Airbus A321-271NX,11580,2 years
Wizz Air,9H-WDV,Airbus A321-271NX,11268,2 years
Wizz Air,9H-WDW,Airbus A321-271NX,11460,2 years
Wizz Air,9H-WDX,Airbus A321-271NX,11710,2 years
Wizz Air,9H-WDY,Airbus A321-271NX,11699,2 years
Wizz Air,9H-WDZ,Airbus A321-271NX,11487,2 years
Wizz Air,9H-WMA,Airbus A321-271NX,12547,Brand new
Wizz Air,9H-WMB,Airbus A321-271NX,12439,1 year
Wizz Air,9H-WMC,Airbus A321-271NX,12590,Brand new
Wizz Air,9H-WMD,Airbus A321-271NX,12567,Brand new
Wizz Air,9H-WME,Airbus A321-271NX,12610,Brand new
Wizz Air,9H-WMF,Airbus A321-271NX,12662,Brand new
Wizz Air,9H-WMG,Airbus A321-271NX,12639,Brand new
Wizz Air,9H-WMH,Airbus A321-271NX,12734,Brand new
Wizz Air,9H-WMI,Airbus A321-271NX,12722,Brand new
Wizz Air,9H-WMJ,Airbus A321-271NX,12756,Brand new
Wizz Air,9H-WMK,Airbus A321-271NX,12788,Brand new
Wizz Air,9H-WML,Airbus A321-271NX,12812,Brand new
Wizz Air,9H-WMM,Airbus A321-271NX,12965,Brand new
Wizz Air,9H-WMN,Airbus A321-271NX,12867,Brand new
Wizz Air,9H-WMP,Airbus A321-271NX,12864,Brand new
Wizz Air,9H-WMQ,Airbus A321-271NX,12922,Brand new
Wizz Air,9H-WMR,Airbus A321-271NX,12932,Brand new
Wizz Air,9H-WMS,Airbus A321-271NX,12899,Brand new
Wizz Air,9H-WMT,Airbus A321-271NX,12992,Brand new
Wizz Air,9H-WNA,Airbus A321-271NX,11766,2 years
Wizz Air,9H-WNB,Airbus A321-271NX,11748,1 year
Wizz Air,9H-WNC,Airbus A321-271NX,11738,2 years
Wizz Air,9H-WND,Airbus A321-271NX,11724,2 years
Wizz Air,9H-WNE,Airbus A321-271NX,11828,1 year
Wizz Air,9H-WNF,Airbus A321-271NX,11648,1 year
Wizz Air,9H-WNG,Airbus A321-271NX,11931,1 year
Wizz Air,9H-WNH,Airbus A321-271NX,11778,1 year
Wizz Air,9H-WNI,Airbus A321-271NX,11877,1 year
Wizz Air,9H-WNJ,Airbus A321-271NX,11873,1 year
Wizz Air,9H-WNK,Airbus A321-271NX,11816,1 year
Wizz Air,9H-WNL,Airbus A321-271NX,11913,1 year
Wizz Air,9H-WNM,Airbus A321-271NX,11969,1 year
Wizz Air,9H-WNN,Airbus A321-271NX,11922,1 year
Wizz Air,9H-WNO,Airbus A321-271NX,11978,1 year
Wizz Air,9H-WNP,Airbus A321-271NX,12113,1 year
Wizz Air,9H-WNQ,Airbus A321-271NX,12014,1 year
Wizz Air,9H-WNR,Airbus A321-271NX,12146,1 year
Wizz Air,9H-WNS,Airbus A321-271NX,12189,1 year
Wizz Air,9H-WNT,Airbus A321-271NX,12228,1 year
Wizz Air,9H-WNU,Airbus A321-271NX,12378,Brand new
Wizz Air,9H-WNV,Airbus A321-271NX,12366,1 year
Wizz Air,9H-WNW,Airbus A321-271NX,12403,1 year
Wizz Air,9H-WNX,Airbus A321-271NX,12408,1 year
Wizz Air,9H-WNY,Airbus A321-271NX,12480,Brand new
Wizz Air,9H-WNZ,Airbus A321-271NX,12524,Brand new
Wizz Air,9H-XLA,Airbus A321-271NY(XLR),12346,Brand new
Wizz Air,9H-XLB,Airbus A321-271NY(XLR),12501,Brand new
Wizz Air,9H-XLC,Airbus A321-271NY(XLR),12655,Brand new
Wizz Air,G-WUKM,Airbus A321-271NX,10283,4 years
Wizz Air,G-WUKN,Airbus A321-271NX,10333,4 years
Wizz Air,G-WUKO,Airbus A321-271NX,10479,4 years
Wizz Air,G-WUKP,Airbus A321-271NX,10357,4 years
Wizz Air,G-WUKR,Airbus A321-271NX,10871,3 years
Wizz Air,G-WUKS,Airbus A321-271NX,10891,3 years
Wizz Air,G-WUKT,Airbus A321-271NX,10672,3 years
Wizz Air,G-WUKU,Airbus A321-271NX,10787,3 years
Wizz Air,G-WUKV,Airbus A321-271NX,11492,2 years
Wizz Air,G-WUKW,Airbus A321-271NX,11547,2 years
Wizz Air,G-WUKX,Airbus A321-271NX,11615,2 years
Wizz Air,G-WUKY,Airbus A321-271NX,11505,2 years
Wizz Air,G-WUKZ,Airbus A321-271NX,11573,2 years
Wizz Air,G-WUNA,Airbus A321-271NX,11591,2 years
Wizz Air,G-WUNB,Airbus A321-271NX,11655,2 years
Wizz Air,G-WUNC,Airbus A321-271NX,11715,2 years
Wizz Air,G-WUND,Airbus A321-271NX,11792,1 year
Wizz Air,G-WUNE,Airbus A321-271NX,11983,1 year
Wizz Air,G-XLRA,Airbus A321-271NY(XLR),11631,Brand new
Wizz Air,G-XLRB,Airbus A321-271NY(XLR),12437,Brand new
Wizz Air,G-XLRD,Airbus A321-271NY(XLR),12511,Brand new
Wizz Air,HA-LDA,Airbus A321-271NX,12825,Brand new
Wizz Air,HA-LDB,Airbus A321-271NX,12891,Brand new
Wizz Air,HA-LDC,Airbus A321-271NX,09503,5 years
Wizz Air,HA-LDG,Airbus A321-271NX,12850,Brand new
Wizz Air,HA-LDH,Airbus A321-271NX,12823,Brand new
Wizz Air,HA-LDI,Airbus A321-271NX,12983,Brand new
Wizz Air,HA-LDK,Airbus A321-271NX,13052,Brand new
Wizz Air,HA-LDL,Airbus A321-271NX,13035,Brand new
Wizz Air,HA-LDM,Airbus A321-271NX,13071,Brand new
Wizz Air,HA-LGA,Airbus A321-271NX,10950,3 years
Wizz Air,HA-LGB,Airbus A321-271NX,10995,3 years
Wizz Air,HA-LGH,Airbus A321-271NX,11709,2 years
Wizz Air,HA-LGI,Airbus A321-271NX,11800,1 year
Wizz Air,HA-LGL,Airbus A321-271NX,11030,3 years
Wizz Air,HA-LGM,Airbus A321-271NX,11867,1 year
Wizz Air,HA-LGN,Airbus A321-271NX,11869,1 year
Wizz Air,HA-LGO,Airbus A321-271NX,11909,1 year
Wizz Air,HA-LGP,Airbus A321-271NX,12019,1 year
Wizz Air,HA-LGQ,Airbus A321-271NX,12196,1 year
Wizz Air,HA-LGR,Airbus A321-271NX,12219,1 year
Wizz Air,HA-LGS,Airbus A321-271NX,12568,Brand new
Wizz Air,HA-LGT,Airbus A321-271NX,12607,Brand new
Wizz Air,HA-LGU,Airbus A321-271NX,12557,Brand new
Wizz Air,HA-LGV,Airbus A321-271NX,12575,Brand new
Wizz Air,HA-LGW,Airbus A321-271NX,12654,Brand new
Wizz Air,HA-LGX,Airbus A321-271NX,09429,5 years
Wizz Air,HA-LGY,Airbus A321-271NX,12810,Brand new
Wizz Air,HA-LGZ,Airbus A321-271NX,12814,Brand new
Wizz Air,HA-LVB,Airbus A321-271NX,08735,6 years
Wizz Air,HA-LVC,Airbus A321-271NX,08816,6 years
Wizz Air,HA-LVD,Airbus A321-271NX,08882,6 years
Wizz Air,HA-LVE,Airbus A321-271NX,08941,6 years
Wizz Air,HA-LVF,Airbus A321-271NX,08966,6 years
Wizz Air,HA-LVG,Airbus A321-271NX,08997,6 years
Wizz Air,HA-LVH,Airbus A321-271NX,09164,5 years
Wizz Air,HA-LVI,Airbus A321-271NX,09333,5 years
Wizz Air,HA-LVJ,Airbus A321-271NX,10257,5 years
Wizz Air,HA-LVK,Airbus A321-271NX,09444,5 years
Wizz Air,HA-LVO,Airbus A321-271NX,10099,5 years
Wizz Air,HA-LVP,Airbus A321-271NX,10227,4 years
Wizz Air,HA-LVQ,Airbus A321-271NX,10295,4 years
Wizz Air,HA-LVT,Airbus A321-271NX,10424,4 years
Wizz Air,HA-LVW,Airbus A321-271NX,10509,4 years
Wizz Air,HA-LZE,Airbus A321-271NX,10480,4 years
Wizz Air,HA-LZI,Airbus A321-271NX,10757,4 years
Wizz Air,HA-LZJ,Airbus A321-271NX,10616,4 years
Wizz Air,HA-LZK,Airbus A321-271NX,10959,3 years
Wizz Air,HA-LZL,Airbus A321-271NX,10700,3 years
Wizz Air,HA-LZM,Airbus A321-271NX,10930,3 years
Wizz Air,HA-LZN,Airbus A321-271NX,10792,3 years
Wizz Air,HA-LZO,Airbus A321-271NX,10843,3 years
Wizz Air,HA-LZP,Airbus A321-271NX,10875,3 years
Wizz Air,HA-LZQ,Airbus A321-271NX,10881,3 years
Wizz Air,HA-LZR,Airbus A321-271NX,10889,3 years
Wizz Air,HA-LZT,Airbus A321-271NX,10893,3 years
Wizz Air,HA-LZU,Airbus A321-271NX,10989,3 years
Wizz Air,HA-LZV,Airbus A321-271NX,10922,3 years
Wizz Air,HA-LZW,Airbus A321-271NX,10929,3 years
Wizz Air,HA-LZX,Airbus A321-271NX,10993,3 years
Wizz Air,HA-LZY,Airbus A321-271NX,10933,3 years
Wizz Air,9H-WAU,Airbus A320-232,08097,8 years
Wizz Air,9H-WAV,Airbus A320-232,08151,7 years
Wizz Air,9H-WBP,Airbus A320-232,08183,7 years
Wizz Air,9H-WBQ,Airbus A320-232,08355,7 years
Wizz Air,9H-WDA,Airbus A320-232,08327,7 years
Wizz Air,9H-WDD,Airbus A320-232,06631,10 years
Wizz Air,9H-WZQ,Airbus A320-232,08210,7 years
Wizz Air,9H-WZR,Airbus A320-232,08362,7 years
Wizz Air,9H-WZT,Airbus A320-232,06077,11 years
Wizz Air,9H-WZW,Airbus A320-232,08311,7 years
Wizz Air,9H-WZX,Airbus A320-232,06589,10 years
Wizz Air,HA-LPJ,Airbus A320-232,03127,18 years
Wizz Air,HA-LPM,Airbus A320-232,03177,18 years
Wizz Air,HA-LWC,Airbus A320-232,04323,15 years
Wizz Air,HA-LWE,Airbus A320-232,04372,15 years
Wizz Air,HA-LWM,Airbus A320-232,05021,14 years
Wizz Air,HA-LWN,Airbus A320-232,05075,13 years
Wizz Air,HA-LWQ,Airbus A320-232,05196,13 years
Wizz Air,HA-LWU,Airbus A320-232,05617,12 years
Wizz Air,HA-LWV,Airbus A320-232,05660,12 years
Wizz Air,HA-LWY,Airbus A320-232,06058,11 years
Wizz Air,HA-LYF,Airbus A320-232,06195,11 years
Wizz Air,HA-LYG,Airbus A320-232,05539,12 years
Wizz Air,HA-LYK,Airbus A320-232,06394,11 years
Wizz Air,HA-LYL,Airbus A320-232,06489,10 years
Wizz Air,HA-LYS,Airbus A320-232,06662,10 years
Wizz Air,HA-LYT,Airbus A320-232,06683,10 years
Wizz Air,9H-WZB,Airbus A321-231,08600,7 years
Wizz Air,HA-LTA,Airbus A321-231,08216,7 years
Wizz Air,HA-LTB,Airbus A321-231,08271,6 years
Wizz Air,HA-LTC,Airbus A321-231,08295,7 years
Wizz Air,HA-LTD,Airbus A321-231,08305,7 years
Wizz Air,HA-LTE,Airbus A321-231,08325,7 years
Wizz Air,HA-LTF,Airbus A321-231,08328,7 years
Wizz Air,HA-LTG,Airbus A321-231,08644,7 years
Wizz Air,HA-LTH,Airbus A321-231,08724,6 years
Wizz Air,HA-LTI,Airbus A321-231,08943,6 years
Wizz Air,HA-LTJ,Airbus A321-231,08791,6 years
Wizz Air,HA-LTK,Airbus A321-231,08625,7 years
Wizz Air,HA-LTL,Airbus A321-231,08169,7 years
Wizz Air,HA-LTM,Airbus A321-231,08236,7 years
Wizz Air,HA-LXA,Airbus A321-231,06848,10 years
Wizz Air,HA-LXB,Airbus A321-231,06910,10 years
Wizz Air,HA-LXC,Airbus A321-231,06976,10 years
Wizz Air,HA-LXD,Airbus A321-231,07032,9 years
Wizz Air,HA-LXE,Airbus A321-231,07114,9 years
Wizz Air,HA-LXF,Airbus A321-231,07155,9 years
Wizz Air,HA-LXG,Airbus A321-231,07182,9 years
Wizz Air,HA-LXH,Airbus A321-231,07217,9 years
Wizz Air,HA-LXI,Airbus A321-231,07280,9 years
Wizz Air,HA-LXJ,Airbus A321-231,07316,9 years
Wizz Air,HA-LXK,Airbus A321-231,07440,9 years
Wizz Air,HA-LXL,Airbus A321-231,07488,9 years
Wizz Air,HA-LXM,Airbus A321-231,07528,9 years
Wizz Air,HA-LXN,Airbus A321-231,07532,9 years
Wizz Air,HA-LXO,Airbus A321-231,07562,8 years
Wizz Air,HA-LXP,Airbus A321-231,07578,8 years
Wizz Air,HA-LXQ,Airbus A321-231,07623,8 years
Wizz Air,HA-LXR,Airbus A321-231,07647,8 years
Wizz Air,HA-LXS,Airbus A321-231,07702,8 years
Wizz Air,HA-LXT,Airbus A321-231,07706,8 years
Wizz Air,HA-LXV,Airbus A321-231,07826,8 years
Wizz Air,HA-LXW,Airbus A321-231,07947,8 years
Wizz Air,HA-LXY,Airbus A321-231,08044,8 years
Turkish Airlines,TC-LPA,Airbus A321-271NX,11464,2 years
Turkish Airlines,TC-LPB,Airbus A321-271NX,11622,2 years
Turkish Airlines,TC-LPC,Airbus A321-271NX,11704,2 years
Turkish Airlines,TC-LPD,Airbus A321-271NX,11843,1 year
Turkish Airlines,TC-LPE,Airbus A321-271NX,11944,1 year
Turkish Airlines,TC-LPF,Airbus A321-271NX,12077,1 year
Turkish Airlines,TC-LPG,Airbus A321-271NX,12364,1 year
Turkish Airlines,TC-LPH,Airbus A321-271NX,11898,1 year
Turkish Airlines,TC-LPI,Airbus A321-271NX,11999,1 year
Turkish Airlines,TC-LPJ,Airbus A321-271NX,11976,1 year
Turkish Airlines,TC-LPK,Airbus A321-271NX,12157,1 year
Turkish Airlines,TC-LPL,Airbus A321-271NX,12075,1 year
Turkish Airlines,TC-LPM,Airbus A321-271NX,12065,1 year
Turkish Airlines,TC-LPN,Airbus A321-271NX,12115,1 year
Turkish Airlines,TC-LPO,Airbus A321-271NX,12410,1 year
Turkish Airlines,TC-LPP,Airbus A321-271NX,12431,1 year
Turkish Airlines,TC-LPR,Airbus A321-271NX,12577,Brand new
Turkish Airlines,TC-LPS,Airbus A321-271NX,12775,Brand new
Turkish Airlines,TC-LPT,Airbus A321-271NX,12786,Brand new
Turkish Airlines,TC-LPU,Airbus A321-271NX,12828,Brand new
Turkish Airlines,TC-LPV,Airbus A321-271NX,12831,Brand new
Turkish Airlines,TC-LPY,Airbus A321-271NX,12866,Brand new
Turkish Airlines,TC-LPZ,Airbus A321-271NX,12914,Brand new
Turkish Airlines,TC-LRA,Airbus A321-271NX,12935,Brand new
Turkish Airlines,TC-LRD,Airbus A321-271NX,12993,Brand new
Turkish Airlines,TC-LSA,Airbus A321-271NX,08155,7 years
Turkish Airlines,TC-LSB,Airbus A321-271NX,08257,6 years
Turkish Airlines,TC-LSC,Airbus A321-271NX,08617,7 years
Turkish Airlines,TC-LSD,Airbus A321-271NX,08727,6 years
Turkish Airlines,TC-LSE,Airbus A321-271NX,08732,6 years
Turkish Airlines,TC-LSF,Airbus A321-271NX,08740,6 years
Turkish Airlines,TC-LSG,Airbus A321-271NX,08794,6 years
Turkish Airlines,TC-LSH,Airbus A321-271NX,08919,6 years
Turkish Airlines,TC-LSJ,Airbus A321-271NX,08957,6 years
Turkish Airlines,TC-LSK,Airbus A321-271NX,09082,6 years
Turkish Airlines,TC-LSL,Airbus A321-271NX,09000,6 years
Turkish Airlines,TC-LSM,Airbus A321-271NX,09044,6 years
Turkish Airlines,TC-LSN,Airbus A321-271NX,09076,6 years
Turkish Airlines,TC-LSO,Airbus A321-271NX,09095,6 years
Turkish Airlines,TC-LSP,Airbus A321-271NX,09109,6 years
Turkish Airlines,TC-LSR,Airbus A321-271NX,09138,5 years
Turkish Airlines,TC-LSS,Airbus A321-271NX,09157,5 years
Turkish Airlines,TC-LST,Airbus A321-271NX,09326,5 years
Turkish Airlines,TC-LSU,Airbus A321-271NX,09376,5 years
Turkish Airlines,TC-LSV,Airbus A321-271NX,09496,5 years
Turkish Airlines,TC-LSY,Airbus A321-271NX,09415,5 years
Turkish Airlines,TC-LSZ,Airbus A321-271NX,09452,5 years
Turkish Airlines,TC-LTA,Airbus A321-271NX,09567,5 years
Turkish Airlines,TC-LTB,Airbus A321-271NX,10125,5 years
Turkish Airlines,TC-LTC,Airbus A321-271NX,10143,5 years
Turkish Airlines,TC-LTD,Airbus A321-271NX,10222,4 years
Turkish Airlines,TC-LTE,Airbus A321-271NX,10259,4 years
Turkish Airlines,TC-LTF,Airbus A321-271NX,10346,4 years
Turkish Airlines,TC-LTG,Airbus A321-271NX,10375,4 years
Turkish Airlines,TC-LTH,Airbus A321-271NX,10382,4 years
Turkish Airlines,TC-LTI,Airbus A321-271NX,10367,4 years
Turkish Airlines,TC-LTJ,Airbus A321-271NX,10723,3 years
Turkish Airlines,TC-LTK,Airbus A321-271NX,10751,3 years
Turkish Airlines,TC-LTL,Airbus A321-271NX,10878,3 years
Turkish Airlines,TC-LTM,Airbus A321-271NX,10854,3 years
Turkish Airlines,TC-LTN,Airbus A321-271NX,11048,3 years
Turkish Airlines,TC-LTO,Airbus A321-271NX,10947,3 years
Turkish Airlines,TC-LTP,Airbus A321-271NX,11148,3 years
Turkish Airlines,TC-LTR,Airbus A321-271NX,11212,2 years
Turkish Airlines,TC-LUP,Airbus A321-271NX,11353,2 years
Turkish Airlines,TC-JLS,Airbus A319-132,04629,14 years
Turkish Airlines,TC-JLT,Airbus A319-132,04665,14 years
Turkish Airlines,TC-JLU,Airbus A319-132,04695,14 years
Turkish Airlines,TC-JLV,Airbus A319-132,04755,14 years
Turkish Airlines,TC-JLY,Airbus A319-132,04774,14 years
Turkish Airlines,TC-JLZ,Airbus A319-132,04790,14 years
Turkish Airlines,TC-EIA,Airbus A320-233,05068,13 years
Turkish Airlines,TC-JPH,Airbus A320-232,03185,18 years
Turkish Airlines,TC-JPI,Airbus A320-232,03208,18 years
Turkish Airlines,TC-JPJ,Airbus A320-232,03239,18 years
Turkish Airlines,TC-JPK,Airbus A320-232,03257,18 years
Turkish Airlines,TC-JPL,Airbus A320-232,03303,18 years
Turkish Airlines,TC-JPM,Airbus A320-232,03341,18 years
